_id,date,season,opponent,nuscore,oppscore,location,deleted
213,27-Jan-12,2011-12,Vermont,,,away,0
214,28-Jan-12,2011-12,Vermont,,,away,0
215,3-Feb-12,2011-12,Massachusetts,,,home,0
216,6-Feb-12,2011-12,boston college,,,neutral,0
217,10-Feb-12,2011-12,New Hampshire,,,away,0
218,13-Feb-12,2011-12,boston university / Harvard,,,neutral,0
219,17-Feb-12,2011-12,Providence,,,home,0
220,18-Feb-12,2011-12,Providence,,,home,0
221,24-Feb-12,2011-12,Maine,,,home,0
222,25-Feb-12,2011-12,Maine,,,home,0
223,2-Mar-12,2011-12,boston university,,,away,0
224,3-Mar-12,2011-12,boston university,,,home,0
